,season,team1,team2,elo_prob1,elo_prob2,carmelo1_pre,carmelo2_pre,carmelo1_post,carmelo2_post,carmelo_prob1,carmelo_prob2,score1,score2,team1Hash,team2Hash
1112,-1.222725288391636,TOR,ATL,0.6276398513247958,0.3723601486752042,0.9097520222469058,0.910641972230315,0.9656586688409712,0.851158412753145,0.6396987331468962,0.3603012668531038,105,97,2561503364633695675,5700374313494463378
1113,-1.222725288391636,MEM,DEN,0.6816738965852648,0.3183261034147352,-0.18975225699645662,-0.7486957609219268,-0.26870618070704294,-0.6686715358471232,0.7251053404603356,0.2748946595396644,105,109,-5985668375142419164,-4894555157353959544
1114,-1.222725288391636,MIN,LAC,0.3099750509823886,0.6900249490176114,-1.0753300768326064,0.9940134444609823,-1.1400792094407308,1.0635752605001219,0.31448162412071257,0.6855183758792874,79,99,7791026494116075625,-5323760739627466504
1115,-1.222725288391636,MIL,PHO,0.7696628486434326,0.2303371513565674,-0.8531978453970281,-1.747558286978772,-0.8046539686608687,-1.7937313447621153,0.7678292662428733,0.2321707337571267,105,94,8790014581025697865,-588518604437065009
1116,-1.222725288391636,SAS,NOP,0.9314782995782541,0.06852170042174599,2.3215425686615148,-0.6861283736981983,2.328998739124838,-0.7026025546723361,0.9333143469119386,0.0666856530880614,100,92,-7332855802423568025,4067967856683296254
1117,-1.222725288391636,DAL,NYK,0.7473183583366324,0.2526816416633676,-0.23553125657116403,-0.906286718278572,-0.20712209010778873,-0.93427117385581,0.7344490808363646,0.2655509191636354,91,89,-5412304293289420943,1431947654934191088
1118,-1.222725288391636,UTA,GSW,0.3061454093011322,0.6938545906988678,0.26228131342662636,2.443924507148548,0.21836404174845736,2.487869153157625,0.3910232863283488,0.6089767136716512,96,103,429481638095159025,2922559144280242665
1119,-1.222725288391636,SAC,WAS,0.5189716435879781,0.4810283564120219,-0.6458627480394311,0.03208230175997089,-0.5697824556901616,-0.042097604797436176,0.582062431155844,0.41793756884415606,120,111,-713927011085917710,-2285819318488364112
1120,-1.222725288391636,LAL,MIA,0.22867454042637864,0.7713254595736214,-2.080538521300252,0.586342307246369,-1.9891955850331446,0.502367023124015,0.2289979459857309,0.7710020540142691,102,100,5056854428117856023,-7357393191761466484
1121,-1.222725288391636,HOU,CHI,0.7705832588008106,0.22941674119918945,0.29688686196718966,-0.6032451035546141,0.22005278946234813,-0.5271520417634338,0.7604030692827646,0.23959693071723545,100,103,-6980721805910865516,1532285866048629918
1122,-1.222725288391636,IND,ORL,0.7593191934364567,0.2406808065635433,-0.10828586124711773,-0.7955853745046545,-0.33917381270848174,-0.5628540039264807,0.7465218109091109,0.25347818909088915,94,114,7567183495528605856,7364307840353954306
